Radionuclide,Max_Energy_MeV,Emission_Type,Half_Life,Time_Unit,Medical_Purpose,Max_Energy_MeV
Fm-252,97.7707,fission,25.39,h,Non-Medical,97.7707
Fm-254,97.523,fission,3.24,h,Non-Medical,97.523
Fm-255,97.4001,fission,20.07,h,Non-Medical,97.4001
Fm-256,97.2779,fission,157.6,m,Non-Medical,97.2779
Fm-257,97.1563,fission,100.5,d,Non-Medical,97.1563
Es-253,95.776,fission,20.47,d,Non-Medical,95.776
Es-254,95.6549,fission,275.7,d,Non-Medical,95.6549
Es-254m,95.6549,fission,39.3,h,Non-Medical,95.6549
Es-255,95.5345,fission,39.8,d,Non-Medical,95.5345
Cf-246,94.7725,fission,35.7,h,Non-Medical,94.7725
Cf-248,94.5269,fission,334,d,Non-Medical,94.5269
Cf-249,94.4051,fission,351,y,Non-Medical,94.4051
Cf-250,94.2839,fission,13.08,y,Non-Medical,94.2839
Cf-252,94.0435,fission,2.645,y,Non-Medical,94.0435
Cf-254,93.8056,fission,60.5,d,Non-Medical,93.8056
Cm-240,91.8139,fission,27,d,Non-Medical,91.8139
Cm-242,91.5703,fission,162.8,d,Non-Medical,91.5703
Cm-244,91.3294,fission,18.1,y,Non-Medical,91.3294
Cm-245,91.21,fission,8500,y,Non-Medical,91.21
Cm-246,91.0912,fission,4760,y,Non-Medical,91.0912
Cm-248,90.8555,fission,348000,y,Non-Medical,90.8555
Cm-250,90.6223,fission,8300,y,Non-Medical,90.6223
Pu-236,88.6535,fission,2.858,y,Non-Medical,88.6535
Pu-238,88.4147,fission,87.7,y,Non-Medical,88.4147
Pu-240,88.1786,fission,6564,y,Non-Medical,88.1786
Pu-242,87.9451,fission,375000,y,Non-Medical,87.9451
Pu-244,87.7142,fission,80000000,y,Non-Medical,87.7142
U-238,84.8461,fission,4468000000,y,Non-Medical,84.8461
Po-212m,11.6512,alpha,45.1,s,Non-Medical,11.6512
N-16,9,b-spectra,7.13,s,Non-Medical,9
Po-212,8.78508,alpha,2.99E-07,s,Non-Medical,8.78508
Rn-215,8.67445,alpha,2.3,us,Non-Medical,8.67445
Po-213,8.37658,alpha,4.20E-06,s,Medical - Daughter of Ac-225,8.37658
Rn-216,8.04805,alpha,4.50E-05,s,Non-Medical,8.04805
At-215,8.02575,alpha,0.0001,s,Non-Medical,8.02575
Ra-219,7.98927,alpha,10,ms,Non-Medical,7.98927
At-216,7.80013,alpha,0.0003,s,Non-Medical,7.80013
Cu-57,7.748,b-spectra,0.1963,s,Non-Medical,7.748
Rn-217,7.74015,alpha,0.00054,s,Non-Medical,7.74015
Po-214,7.68695,alpha,0.0001643,s,Non-Medical,7.68695
Cl-40,7.48,b-spectra,1.35,m,Non-Medical,7.48
Ra-220,7.45682,alpha,0.0179,s,Non-Medical,7.45682
Po-211,7.45004,alpha,0.516,s,Medical - Daughter of Ra-223,7.45004
Th-223,7.43118,alpha,0.6,s,Non-Medical,7.43118
Po-215,7.38628,alpha,0.001781,s,Medical - Daughter of Ra-223,7.38628
Fr-219,7.31188,alpha,0.02,s,Non-Medical,7.31188
Fm-251,7.30542,alpha,5.3,h,Non-Medical,7.30542
Cf-244,7.20887,alpha,19.4,m,Non-Medical,7.20887
Rh-94,7.17729,b-spectra,70.6,s,Non-Medical,7.17729
Th-224,7.17349,alpha,1.05,s,Non-Medical,7.17349
Rn-218,7.12926,alpha,0.035,s,Non-Medical,7.12926
Fm-253,7.08314,alpha,3,d,Non-Medical,7.08314
At-217,7.06916,alpha,0.0323,s,Medical - Daughter of Ac-225,7.06916
U-227,7.03346,alpha,1.1,m,Non-Medical,7.03346
Br-72,6.99599,b-spectra,78.6,s,Non-Medical,6.99599
Rn-219,6.81915,alpha,3.96,s,Medical - Therapy,6.81915
Es-249,6.77925,alpha,102.2,m,Non-Medical,6.77925
Po-216,6.77842,alpha,0.145,s,Non-Medical,6.77842
Ra-221,6.75932,alpha,28,s,Non-Medical,6.75932
At-218,6.74779,alpha,1.5,s,Non-Medical,6.74779
U-228,6.68456,alpha,9.1,m,Non-Medical,6.68456
Fr-220,6.67697,alpha,27.4,s,Non-Medical,6.67697
Ac-223,6.66135,alpha,2.1,m,Non-Medical,6.66135
Eu-142,6.648,b-spectra,2.34,s,Non-Medical,6.648
Bi-211,6.62304,alpha,2.14,m,Medical - Daughter of Ra-223,6.62304
Pu-232,6.60013,alpha,33.7,m,Non-Medical,6.60013
Rb-90,6.587,b-spectra,158,s,Non-Medical,6.587
Ra-222,6.56054,alpha,38,s,Non-Medical,6.56054
Cm-238,6.50965,alpha,2.4,h,Non-Medical,6.50965
Es-251,6.4918,alpha,33,h,Non-Medical,6.4918
Pa-227,6.46398,alpha,38.3,m,Non-Medical,6.46398
Fr-212,6.40622,alpha,20,m,Non-Medical,6.40622
K-46,6.371,b-spectra,105,s,Non-Medical,6.371
Bk-245,6.34905,alpha,4.94,d,Non-Medical,6.34905
Ho-150,6.347,b-spectra,76.8,s,Non-Medical,6.347
Fr-221,6.34065,alpha,4.9,m,Medical - Therapy,6.34065
Th-226,6.33724,alpha,30.57,m,Non-Medical,6.33724
Cf-247,6.31793,alpha,3.11,h,Non-Medical,6.31793
Rn-220,6.28815,alpha,55.6,s,Non-Medical,6.28815
Rn-212,6.26445,alpha,23.9,m,Non-Medical,6.26445
Rb-78,6.221,b-spectra,17.66,m,Non-Medical,6.221
Cs-140,6.219,b-spectra,63.7,s,Non-Medical,6.219
Ac-224,6.21385,alpha,2.78,h,Non-Medical,6.21385
At-219,6.20842,alpha,56,s,Non-Medical,6.20842
Pu-234,6.20207,alpha,8.8,h,Non-Medical,6.20207
Ga-64,6.1473,b-spectra,2.627,m,Non-Medical,6.1473
Rn-207,6.13023,alpha,9.25,m,Non-Medical,6.13023
Pa-228,6.12525,alpha,22,h,Non-Medical,6.12525
Bi-212,6.09001,alpha,60.55,m,Non-Medical,6.09001
Cm-241,6.08228,alpha,32.8,d,Non-Medical,6.08228
Cf-251,6.07673,alpha,900,y,Non-Medical,6.07673
Cm-243,6.06631,alpha,29.1,y,Non-Medical,6.06631
Am-237,6.04614,alpha,73,m,Non-Medical,6.04614
As-68,6.04178,b-spectra,151.6,s,Non-Medical,6.04178
Rn-210,6.04112,alpha,2.4,h,Non-Medical,6.04112
Rn-209,6.03909,alpha,28.5,m,Non-Medical,6.03909
Th-227,6.03805,alpha,18.68,d,Medical - Parent (Generator),6.03805
Tl-190,6.018,b-spectra,2.6,m,Non-Medical,6.018
Po-218,6.00241,alpha,3.1,m,Non-Medical,6.00241
Pm-136,6.0017,b-spectra,107,s,Non-Medical,6.0017
Cf-253,5.9811,alpha,17.81,d,Non-Medical,5.9811
At-204,5.9509,alpha,9.2,m,Non-Medical,5.9509
At-220,5.94288,alpha,3.71,m,Non-Medical,5.94288
Am-238,5.93842,alpha,98,m,Non-Medical,5.93842
At-205,5.90305,alpha,26.2,m,Non-Medical,5.90305
U-230,5.88841,alpha,20.8,d,Non-Medical,5.88841
Ra-223,5.87198,alpha,11.43,d,Medical - Therapy,5.87198
Bi-213,5.86959,alpha,45.59,m,Medical - Therapy,5.86959
At-211,5.86705,alpha,7.214,h,Medical - Therapy,5.86705
Rb-90m,5.86223,b-spectra,258,s,Non-Medical,5.86223
Rn-211,5.85087,alpha,14.6,h,Non-Medical,5.85087
Ac-225,5.82972,alpha,10,d,Medical - Therapy,5.82972
Am-239,5.82223,alpha,11.9,h,Non-Medical,5.82223
Pu-235,5.81032,alpha,25.3,m,Non-Medical,5.81032
Bk-247,5.79357,alpha,1380,y,Non-Medical,5.79357
At-206,5.76713,alpha,30.6,m,Non-Medical,5.76713
At-207,5.75748,alpha,1.8,h,Non-Medical,5.75748
Pa-229,5.734,alpha,1.5,d,Non-Medical,5.734
I-118,5.731,b-spectra,13.7,m,Non-Medical,5.731
Ra-224,5.68543,alpha,3.66,d,Non-Medical,5.68543
Tb-146,5.66549,b-spectra,23,s,Non-Medical,5.66549
K-44,5.659,b-spectra,22.13,m,Non-Medical,5.659
Pu-237,5.64994,alpha,45.2,d,Non-Medical,5.64994
At-209,5.64704,alpha,5.41,h,Non-Medical,5.64704
Ag-116,5.64649,b-spectra,2.68,m,Non-Medical,5.64649
At-208,5.64033,alpha,1.63,h,Non-Medical,5.64033
Am-241,5.54418,alpha,432.2,y,Non-Medical,5.54418
Np-233,5.53329,alpha,36.2,m,Non-Medical,5.53329
At-210,5.52426,alpha,8.1,h,Non-Medical,5.52426
Am-242m,5.5177,alpha,141,y,Non-Medical,5.5177
Bi-214,5.51587,alpha,19.9,m,Non-Medical,5.51587
Nb-88m,5.51091,b-spectra,7.78,m,Non-Medical,5.51091
Rn-222,5.48951,alpha,3.8235,d,Non-Medical,5.48951
U-231,5.48037,alpha,4.2,d,Non-Medical,5.48037
Fr-223,5.46217,alpha,22,m,Non-Medical,5.46217
Bk-249,5.43707,alpha,330,d,Non-Medical,5.43707
Th-228,5.42321,alpha,1.9116,y,Non-Medical,5.42321
Ag-100m,5.40781,b-spectra,2.24,m,Non-Medical,5.40781
Ac-226,5.39866,alpha,29.37,h,Non-Medical,5.39866
Po-203,5.38764,alpha,36.7,m,Non-Medical,5.38764
Am-240,5.37779,alpha,50.8,h,Non-Medical,5.37779
Po-204,5.37728,alpha,3.53,h,Non-Medical,5.37728
Am-243,5.34912,alpha,7370,y,Non-Medical,5.34912
Pa-230,5.34474,alpha,17.4,d,Non-Medical,5.34474
Sc-50,5.33421,b-spectra,102.5,s,Non-Medical,5.33421
Eu-144,5.328,b-spectra,10.2,s,Non-Medical,5.328
U-232,5.32023,alpha,68.9,y,Non-Medical,5.32023
Rb-88,5.316,b-spectra,17.78,m,Non-Medical,5.316
Co-62,5.315,b-spectra,1.5,m,Non-Medical,5.315
Po-210,5.30443,alpha,138.376,d,Non-Medical,5.30443
Cm-247,5.26527,alpha,15600000,y,Non-Medical,5.26527
Br-74m,5.26378,b-spectra,46,m,Non-Medical,5.26378
Br-74,5.25021,b-spectra,25.4,m,Non-Medical,5.25021
Tc-104,5.24198,b-spectra,18.3,m,Non-Medical,5.24198
Po-206,5.22301,alpha,8.8,d,Non-Medical,5.22301
Po-205,5.22005,alpha,1.66,h,Non-Medical,5.22005
Rb-78m,5.20972,b-spectra,5.74,m,Non-Medical,5.20972
Bi-210m,5.20781,alpha,3040000,y,Non-Medical,5.20781
Tc-91,5.198,b-spectra,3.14,m,Non-Medical,5.198
Y-84m,5.165,b-spectra,39.5,m,Non-Medical,5.165
Pu-239,5.1566,alpha,24110,y,Non-Medical,5.1566
Po-207,5.11544,alpha,5.8,h,Non-Medical,5.11544
Po-208,5.11514,alpha,2.898,y,Non-Medical,5.11514
Np-235,5.10318,alpha,396.1,d,Non-Medical,5.10318
Th-229,5.07777,alpha,7340,y,Non-Medical,5.07777
Ag-114,5.076,b-spectra,4.6,s,Non-Medical,5.076
Pm-140,5.068,b-spectra,9.2,s,Non-Medical,5.068
Pa-231,5.06067,alpha,32760,y,Non-Medical,5.06067
Pu-241,5.05473,alpha,14.35,y,Non-Medical,5.05473
Cu-60,5.048,gamma,23.7,m,Non-Medical,5.048
Te-113,5.048,b-spectra,1.7,m,Non-Medical,5.048
Ga-66,5.00562,gamma,9.49,h,Non-Medical,5.00562
Ta-170,4.9972,b-spectra,6.76,m,Non-Medical,4.9972
Sb-114,4.987,gamma,3.49,m,Non-Medical,4.987
Kr-89,4.986,b-spectra,3.15,m,Non-Medical,4.986
La-128,4.98459,b-spectra,5.18,m,Non-Medical,4.98459
Ac-227,4.95328,alpha,21.772,y,Non-Medical,4.95328
Ir-180,4.95035,b-spectra,1.5,m,Non-Medical,4.95035
Y-94,4.92,b-spectra,18.7,m,Non-Medical,4.92
Cl-38,4.9168,b-spectra,37.24,m,Non-Medical,4.9168
Pr-134m,4.91377,b-spectra,17,m,Non-Medical,4.91377
Au-186,4.90647,b-spectra,10.7,m,Non-Medical,4.90647
In-106m,4.89509,b-spectra,5.2,m,Non-Medical,4.89509
Cs-124,4.893,b-spectra,30.8,s,Non-Medical,4.893
K-38,4.8911,b-spectra,7.636,m,Non-Medical,4.8911
Po-209,4.88561,alpha,102,y,Non-Medical,4.88561
Pr-148,4.883,b-spectra,2.29,m,Non-Medical,4.883
Np-237,4.87378,alpha,2144000,y,Non-Medical,4.87378
In-106,4.8664,b-spectra,6.2,m,Non-Medical,4.8664
S-37,4.8653,b-spectra,5.05,m,Non-Medical,4.8653
In-103,4.8401,b-spectra,60,s,Non-Medical,4.8401
U-233,4.82477,alpha,159200,y,Non-Medical,4.82477
O-19,4.8196,b-spectra,26.464,s,Non-Medical,4.8196
Mn-52m,4.8154,gamma,21.1,m,Non-Medical,4.8154
Ra-226,4.78437,alpha,1600,y,Non-Medical,4.78437
Ga-74,4.77715,b-spectra,8.12,m,Non-Medical,4.77715
U-234,4.7754,alpha,245500,y,Non-Medical,4.7754
Gd-143m,4.75107,b-spectra,110,s,Non-Medical,4.75107
Tb-148,4.743,b-spectra,60,m,Non-Medical,4.743
Ca-49,4.7382,gamma,8.718,m,Non-Medical,4.7382
Eu-142m,4.736,b-spectra,1.223,m,Non-Medical,4.736
As-70,4.7,gamma,52.6,m,Non-Medical,4.7
Gd-145,4.6996,gamma,23,m,Non-Medical,4.6996
Rb-80,4.696,b-spectra,33.4,s,Non-Medical,4.696
Th-230,4.68699,alpha,75380,y,Non-Medical,4.68699
Tc-91m,4.68436,b-spectra,3.3,m,Non-Medical,4.68436
Bi-210,4.68183,alpha,5.013,d,Non-Medical,4.68183
Au-187,4.66497,alpha,8.4,m,Non-Medical,4.66497
Br-84,4.655,b-spectra,31.8,m,Non-Medical,4.655
Pb-194,4.64025,alpha,12,m,Non-Medical,4.64025
Mo-89,4.628,b-spectra,2.11,m,Non-Medical,4.628
Zn-61,4.615,b-spectra,89.1,s,Non-Medical,4.615
Br-76,4.6,gamma,16.2,h,Medical - Imaging,4.6
U-235,4.59901,alpha,704000000,y,Non-Medical,4.59901
I-120,4.593,b-spectra,81.6,m,Non-Medical,4.593
Rh-96m,4.59045,b-spectra,1.51,m,Non-Medical,4.59045
Ar-43,4.583,b-spectra,5.37,m,Non-Medical,4.583
Tb-150,4.5632,gamma,3.48,h,Non-Medical,4.5632
Np-236,4.53181,alpha,154000,y,Non-Medical,4.53181
Mn-58m,4.531,gamma,65.2,s,Non-Medical,4.531
Tc-102,4.526,b-spectra,5.28,s,Non-Medical,4.526
Rh-108,4.51,b-spectra,16.8,s,Non-Medical,4.51
La-142,4.504,b-spectra,91.1,m,Non-Medical,4.504
Pt-184,4.50189,alpha,17.3,m,Non-Medical,4.50189
Rb-89,4.496,b-spectra,15.15,m,Non-Medical,4.496
U-236,4.49485,alpha,23420000,y,Non-Medical,4.49485
Y-81,4.488,b-spectra,70.4,s,Non-Medical,4.488
Co-54m,4.47032,b-spectra,1.48,m,Non-Medical,4.47032
Cl-34,4.46928,b-spectra,1.5264,s,Non-Medical,4.46928
In-118,4.423,b-spectra,5,s,Non-Medical,4.423
Y-95,4.42,b-spectra,10.3,m,Non-Medical,4.42
Ir-182,4.41111,b-spectra,15,m,Non-Medical,4.41111
Ho-154,4.39442,b-spectra,11.76,m,Non-Medical,4.39442
Tl-210,4.394,b-spectra,1.3,m,Non-Medical,4.394
Nb-88,4.38829,b-spectra,14.5,m,Non-Medical,4.38829
Cs-121,4.378,b-spectra,155,s,Non-Medical,4.378
Tc-92,4.3701,gamma,4.25,m,Non-Medical,4.3701
Cd-101,4.3599,b-spectra,1.36,m,Non-Medical,4.3599
Tl-194,4.348,b-spectra,33,m,Non-Medical,4.348
In-108m,4.3428,gamma,39.6,m,Non-Medical,4.3428
Rh-95m,4.3365,gamma,1.96,m,Non-Medical,4.3365
Rb-77,4.324,b-spectra,3.77,m,Non-Medical,4.324
Tl-190m,4.31502,b-spectra,3.7,m,Non-Medical,4.31502
Sr-79,4.298,b-spectra,2.25,m,Non-Medical,4.298
La-130,4.28666,b-spectra,8.7,m,Non-Medical,4.28666
Pr-134,4.27412,b-spectra,11,m,Non-Medical,4.27412
Sb-116,4.27,gamma,15.8,m,Non-Medical,4.27
Eu-143,4.253,b-spectra,2.59,m,Non-Medical,4.253
Cs-121m,4.23902,b-spectra,122,s,Non-Medical,4.23902
Na-24,4.23796,gamma,14.959,h,Non-Medical,4.23796
Dy-150,4.235,alpha,7.17,m,Non-Medical,4.235
Pt-186,4.23193,alpha,2.08,h,Non-Medical,4.23193
Pr-146,4.22,b-spectra,24.15,m,Non-Medical,4.22
Cs-139,4.213,b-spectra,9.27,m,Non-Medical,4.213
As-78,4.212,b-spectra,90.7,m,Non-Medical,4.212
K-45,4.205,b-spectra,17.3,m,Non-Medical,4.205
Mo-91,4.1806,gamma,15.49,m,Non-Medical,4.1806
Pr-148m,4.1805,b-spectra,2.01,m,Non-Medical,4.1805
Rh-95,4.1756,gamma,5.02,m,Non-Medical,4.1756
Xe-137,4.173,b-spectra,3.818,m,Non-Medical,4.173
Er-154,4.16837,alpha,3.73,m,Non-Medical,4.16837
Ag-117,4.16,b-spectra,73.6,s,Non-Medical,4.16
Ag-99,4.14362,b-spectra,124,s,Non-Medical,4.14362
Sr-93,4.137,b-spectra,7.423,m,Non-Medical,4.137
Tc-94m,4.1362,gamma,52,m,Non-Medical,4.1362
O-14,4.12104,b-spectra,70.606,s,Non-Medical,4.12104
Pm-137m,4.1154,b-spectra,2.4,m,Non-Medical,4.1154
Cl-34m,4.11454,gamma,32,m,Non-Medical,4.11454
I-118m,4.0972,b-spectra,8.5,m,Non-Medical,4.0972
Ag-102m,4.0906,b-spectra,7.7,m,Non-Medical,4.0906
Gd-145m,4.082,b-spectra,85,s,Non-Medical,4.082
Cs-138,4.0801,gamma,33.41,m,Non-Medical,4.0801
Dy-151,4.06881,alpha,17.9,m,Non-Medical,4.06881
Sb-111,4.035,b-spectra,75,s,Non-Medical,4.035
Sn-130m,4.02684,b-spectra,1.7,m,Non-Medical,4.02684
Ho-153m,4.0129,alpha,9.3,m,Non-Medical,4.0129
Th-232,4.01236,alpha,14050000000,y,Non-Medical,4.01236
Ag-104m,4.009,gamma,33.5,m,Non-Medical,4.009
Nb-99m,4.0042,b-spectra,2.6,m,Non-Medical,4.0042
Tb-149m,4.00327,alpha,4.16,m,Non-Medical,4.00327
As-72,3.995,gamma,26,h,Non-Medical,3.995
Tb-149,3.96845,alpha,4.118,h,Medical - Therapy,3.96845
Nb-89,3.9655,gamma,2.03,h,Non-Medical,3.9655
Mo-91m,3.9604,b-spectra,64.6,s,Non-Medical,3.9604
Pm-154,3.96,b-spectra,1.73,m,Non-Medical,3.96
Ag-112,3.956,b-spectra,3.13,h,Non-Medical,3.956
Rb-82,3.956,gamma,1.273,m,Medical - Imaging,3.956
Pt-188,3.92169,alpha,10.2,d,Non-Medical,3.92169
Te-115,3.918,b-spectra,5.8,m,Non-Medical,3.918
Ho-153,3.91115,alpha,2.01,m,Non-Medical,3.91115
Se-83m,3.8975,b-spectra,70.1,s,Non-Medical,3.8975
Kr-87,3.887,b-spectra,76.3,m,Non-Medical,3.887
Tm-162,3.8776,gamma,21.7,m,Non-Medical,3.8776
Y-86,3.877,gamma,14.74,h,Medical - Imaging,3.877
Cu-62,3.8617,gamma,9.673,m,Non-Medical,3.8617
Tm-176,3.84802,b-spectra,1.85,m,Non-Medical,3.84802
Sm-139,3.82627,b-spectra,2.57,m,Non-Medical,3.82627
Ta-172,3.8152,gamma,36.8,m,Non-Medical,3.8152
Pm-154m,3.81316,b-spectra,2.68,m,Non-Medical,3.81316
Nb-87,3.8072,b-spectra,3.75,m,Non-Medical,3.8072
Cs-126,3.802,b-spectra,1.64,m,Non-Medical,3.802
P-30,3.7873,IE,2.498,m,Non-Medical,3.7873
Ta-186,3.77771,b-spectra,10.5,m,Non-Medical,3.77771
Cu-59,3.7776,b-spectra,81.5,s,Non-Medical,3.7776
Pm-142,3.776,b-spectra,40.5,s,Non-Medical,3.776
La-132,3.7756,gamma,4.8,h,Non-Medical,3.7756
V-52,3.772,gamma,3.743,m,Non-Medical,3.772
In-110m,3.7717,gamma,69.1,m,Non-Medical,3.7717
La-140,3.7619,b-spectra,1.6781,d,Non-Medical,3.7619
Se-71,3.758,b-spectra,4.74,m,Non-Medical,3.758
