Radionuclide,Max_Energy_MeV,Emission_Type,Half_Life,Time_Unit,Medical_Purpose,Max_Energy_MeV
Yb-164,1.0192,gamma,75.8,m,Non-Medical,1.0192
Ba-140,1.01703,b-spectra,12.752,d,Non-Medical,1.01703
Mo-102,1.014,b-spectra,11.3,m,Non-Medical,1.014
Ir-194m,1.0118,gamma,171,d,Non-Medical,1.0118
Re-189,1.008,b-spectra,24.3,h,Non-Medical,1.008
Ho-167,1.007,b-spectra,3.1,h,Non-Medical,1.007
Ce-137m,1.00449,gamma,34.4,h,Non-Medical,1.00449
Gd-159,0.9706,b-spectra,18.479,h,Non-Medical,0.9706
Ru-97,0.96965,gamma,2.9,d,Non-Medical,0.96965
Tm-170,0.968,b-spectra,128.6,d,Non-Medical,0.968
Br-83,0.96359,b-spectra,2.4,h,Non-Medical,0.96359
Ho-164,0.9628,b-spectra,29,m,Non-Medical,0.9628
C-11,0.9602,b-spectra,20.39,m,Medical - Imaging,0.9602
Tl-202,0.9597,gamma,12.23,d,Non-Medical,0.9597
Pb-196,0.9541,gamma,37,m,Non-Medical,0.9541
Hf-182m,0.9529,gamma,61.5,m,Non-Medical,0.9529
Sr-85,0.951,gamma,64.84,d,Non-Medical,0.951
W-190,0.9503,b-spectra,30,m,Non-Medical,0.9503
Ir-195m,0.94762,b-spectra,3.8,h,Non-Medical,0.94762
Cs-129,0.946046,gamma,32.06,h,Non-Medical,0.946046
Pt-191,0.93533,gamma,2.802,d,Non-Medical,0.93533
Nb-92,0.9345,gamma,34700000,y,Non-Medical,0.9345
Pr-143,0.9339,b-spectra,13.57,d,Non-Medical,0.9339
Os-185,0.931057,gamma,93.6,d,Non-Medical,0.931057
Nb-95,0.9256,b-spectra,34.991,d,Non-Medical,0.9256
Hf-170,0.9231,gamma,16.01,h,Non-Medical,0.9231
Sr-85m,0.9198,gamma,67.63,m,Non-Medical,0.9198
Y-89m,0.90896,gamma,15.663,s,Non-Medical,0.90896
Zn-69,0.906,b-spectra,56.4,m,Non-Medical,0.906
Au-200m,0.90423,gamma,18.7,h,Non-Medical,0.90423
Am-244,0.897848,gamma,10.1,h,Non-Medical,0.897848
Nd-147,0.8953,b-spectra,10.98,d,Non-Medical,0.8953
Am-245,0.8947,b-spectra,2.05,h,Non-Medical,0.8947
Er-172,0.894,gamma,49.3,h,Non-Medical,0.894
Cm-249,0.8922,b-spectra,64.15,m,Non-Medical,0.8922
Ru-94,0.8912,gamma,51.8,m,Non-Medical,0.8912
Ga-67,0.887693,gamma,3.2612,d,Medical - Imaging,0.887693
Nb-94,0.871091,gamma,20300,y,Non-Medical,0.871091
Bk-248m,0.87,b-spectra,23.7,h,Non-Medical,0.87
Pb-198,0.8653,gamma,2.4,h,Non-Medical,0.8653
Yb-162,0.85671,gamma,18.87,m,Non-Medical,0.85671
Ag-111m,0.85124,b-spectra,64.8,s,Non-Medical,0.85124
Cs-135m,0.8461,gamma,53,m,Non-Medical,0.8461
Sr-80,0.842,b-spectra,106.3,m,Non-Medical,0.842
Kr-85m,0.84108,b-spectra,4.48,h,Non-Medical,0.84108
Mn-54,0.834848,gamma,312.12,d,Non-Medical,0.834848
In-115m,0.83124,b-spectra,4.486,h,Non-Medical,0.83124
Se-75,0.8216,gamma,119.779,d,Non-Medical,0.8216
Ce-132,0.82034,gamma,3.51,h,Non-Medical,0.82034
Sm-153,0.8082,b-spectra,46.5,h,Medical - Therapy,0.8082
I-131,0.80687,b-spectra,8.0207,d,Medical - Imaging,0.80687
Rb-83,0.79937,gamma,86.2,d,Non-Medical,0.79937
Pm-146,0.79476,b-spectra,5.53,y,Non-Medical,0.79476
Ho-161,0.79068,gamma,2.48,h,Non-Medical,0.79068
Yb-169,0.78164,gamma,32.026,d,Non-Medical,0.78164
Zn-69m,0.77074,b-spectra,13.76,h,Non-Medical,0.77074
Tl-204,0.7637,b-spectra,3.78,y,Non-Medical,0.7637
Ru-103,0.7634,b-spectra,39.26,d,Non-Medical,0.7634
Tc-98,0.74535,gamma,4200000,y,Non-Medical,0.74535
Pm-143,0.74198,gamma,265,d,Non-Medical,0.74198
Sb-125,0.7298,gamma,2.75856,y,Non-Medical,0.7298
Te-127m,0.72862,b-spectra,109,d,Non-Medical,0.72862
Os-182,0.72698,gamma,22.1,h,Non-Medical,0.72698
In-114m,0.72524,gamma,49.51,d,Non-Medical,0.72524
Ag-108m,0.722907,gamma,418,y,Non-Medical,0.722907
Sm-156,0.722,b-spectra,9.4,h,Non-Medical,0.722
Cf-255,0.72,b-spectra,85,m,Non-Medical,0.72
Pt-197,0.7189,b-spectra,19.8915,h,Non-Medical,0.7189
Os-180,0.7174,gamma,21.5,m,Non-Medical,0.7174
Np-239,0.71414,b-spectra,2.3565,d,Non-Medical,0.71414
Ra-230,0.71,b-spectra,93,m,Non-Medical,0.71
Pt-197m,0.7095,b-spectra,95.41,m,Non-Medical,0.7095
Cd-104,0.7093,gamma,57.7,m,Non-Medical,0.7093
Cl-36,0.7086,b-spectra,301000,y,Non-Medical,0.7086
Ta-180,0.708,b-spectra,8.152,h,Non-Medical,0.708
Co-57,0.70654,gamma,271.74,d,Non-Medical,0.70654
Te-127,0.698,b-spectra,9.35,h,Non-Medical,0.698
Np-236m,0.68761,gamma,22.5,h,Non-Medical,0.68761
Kr-85,0.6874,b-spectra,10.756,y,Non-Medical,0.6874
As-77,0.6829,b-spectra,38.83,h,Non-Medical,0.6829
Pb-203,0.680514,gamma,51.873,h,Non-Medical,0.680514
Sn-128,0.6805,gamma,59.07,m,Non-Medical,0.6805
Ge-78,0.6757,b-spectra,88,m,Non-Medical,0.6757
Pt-200,0.67,b-spectra,12.5,h,Non-Medical,0.67
Am-242,0.6648,b-spectra,16.02,h,Non-Medical,0.6648
Ba-137m,0.661657,gamma,2.552,m,Non-Medical,0.661657
Tb-155,0.65893,gamma,5.32,d,Non-Medical,0.65893
Ta-183,0.65841,b-spectra,5.1,d,Non-Medical,0.65841
In-109m,0.6501,gamma,1.34,m,Non-Medical,0.6501
Sn-113,0.64683,gamma,115.09,d,Non-Medical,0.64683
Yb-178,0.645,b-spectra,74,m,Non-Medical,0.645
Pb-209,0.6444,b-spectra,3.253,h,Medical - Daughter of Ac-225,0.6444
Hf-177m,0.6382,gamma,51.4,m,Non-Medical,0.6382
Hg-190,0.6379,gamma,20,m,Non-Medical,0.6379
Eu-149,0.6365,gamma,93.1,d,Non-Medical,0.6365
Lu-173,0.63611,gamma,1.37,y,Non-Medical,0.63611
F-18,0.6335,b-spectra,109.77,m,Medical - Imaging,0.6335
Ba-133m,0.6325,gamma,38.9,h,Non-Medical,0.6325
Pb-201m,0.6291,gamma,61,s,Non-Medical,0.6291
Zr-86,0.6206,gamma,16.5,h,Non-Medical,0.6206
Xe-127,0.6184,gamma,36.4,d,Non-Medical,0.6184
Os-190m,0.6165,gamma,9.9,m,Non-Medical,0.6165
Pb-200,0.60544,gamma,21.5,h,Non-Medical,0.60544
Sc-47,0.6001,b-spectra,3.3492,d,Non-Medical,0.6001
Ar-42,0.599,b-spectra,32.9,y,Non-Medical,0.599
Lu-176,0.59577,b-spectra,38500000000,y,Non-Medical,0.59577
Tb-161,0.5931,b-spectra,6.906,d,Medical - Therapy,0.5931
Cm-239,0.591,b-spectra,2.9,h,Non-Medical,0.591
Cs-130m,0.5862,gamma,3.46,m,Non-Medical,0.5862
Cd-113m,0.5837,b-spectra,14.1,y,Non-Medical,0.5837
Pu-243,0.581,b-spectra,4.956,h,Non-Medical,0.581
Ce-141,0.5807,b-spectra,32.508,d,Non-Medical,0.5807
Gd-146,0.576,gamma,48.27,d,Non-Medical,0.576
Hf-178m,0.574215,gamma,31,y,Non-Medical,0.574215
Pb-212,0.574,b-spectra,10.64,h,Medical - Therapy,0.574
Te-121,0.573139,gamma,19.16,d,Non-Medical,0.573139
Pa-233,0.5721,b-spectra,26.967,d,Non-Medical,0.5721
Rh-105,0.5662,b-spectra,35.36,h,Non-Medical,0.5662
Ar-39,0.565,b-spectra,269,y,Non-Medical,0.565
Cu-67,0.5617,b-spectra,61.83,h,Medical - Therapy,0.5617
Be-10,0.5562,b-spectra,1510000,y,Non-Medical,0.5562
Rb-86m,0.55607,gamma,1.017,m,Non-Medical,0.55607
Y-91m,0.55557,gamma,49.71,m,Non-Medical,0.55557
Sr-90,0.546,b-spectra,28.79,y,Non-Medical,0.546
Rh-101m,0.545117,gamma,4.34,d,Non-Medical,0.545117
Nd-138,0.541,gamma,5.04,h,Non-Medical,0.541
In-111m,0.537,gamma,7.7,m,Non-Medical,0.537
Tm-167,0.53154,gamma,9.25,d,Non-Medical,0.53154
Cd-118,0.52,b-spectra,50.3,m,Non-Medical,0.52
Cr-48,0.511,annihilation,21.56,h,Non-Medical,0.511
Nb-91,0.511,annihilation,680,y,Non-Medical,0.511
Ni-59,0.511,annihilation,101000,y,Non-Medical,0.511
Y-87,0.511,annihilation,79.8,h,Non-Medical,0.511
Hf-180m,0.500697,gamma,5.5,h,Non-Medical,0.500697
Lu-177,0.4978,b-spectra,6.647,d,Medical - Therapy,0.4978
Pd-103,0.49708,gamma,16.991,d,Non-Medical,0.49708
In-115,0.496,b-spectra,4.41E+14,y,Non-Medical,0.496
Sm-145,0.49255,gamma,340,d,Non-Medical,0.49255
Hg-203,0.4918,b-spectra,46.612,d,Non-Medical,0.4918
Dy-166,0.4869,b-spectra,81.6,h,Non-Medical,0.4869
Be-7,0.477603,gamma,53.22,d,Non-Medical,0.477603
Yb-175,0.4688,b-spectra,4.185,d,Non-Medical,0.4688
Lu-177m,0.465842,gamma,160.4,d,Non-Medical,0.465842
Rb-84m,0.46362,gamma,20.26,m,Non-Medical,0.46362
U-237,0.45906,b-spectra,6.75,d,Non-Medical,0.45906
Hf-179m,0.45359,gamma,25.05,d,Non-Medical,0.45359
Au-199,0.4526,b-spectra,3.139,d,Non-Medical,0.4526
Ir-189,0.4385,gamma,13.2,d,Non-Medical,0.4385
Hg-192,0.4367,gamma,4.85,h,Non-Medical,0.4367
Tc-99m,0.43618,b-spectra,6.015,h,Medical - Imaging,0.43618
Hf-175,0.433,gamma,70,d,Non-Medical,0.433
W-185,0.433,b-spectra,75.1,d,Non-Medical,0.433
Ta-178m,0.42636,gamma,2.36,h,Non-Medical,0.42636
Rh-101,0.42219,gamma,3.3,y,Non-Medical,0.42219
Xe-122,0.416633,gamma,20.1,h,Non-Medical,0.416633
Hg-199m,0.4134,gamma,42.66,m,Non-Medical,0.4134
Hg-197m,0.4091,gamma,23.8,h,Non-Medical,0.4091
Re-183,0.406593,gamma,70,d,Non-Medical,0.406593
Zr-88,0.3929,gamma,83.4,d,Non-Medical,0.3929
In-113m,0.391698,gamma,1.6579,h,Non-Medical,0.391698
Sn-121,0.39,b-spectra,27.03,h,Non-Medical,0.39
Th-231,0.3895,b-spectra,25.52,h,Non-Medical,0.3895
Sr-87m,0.388531,gamma,2.815,h,Non-Medical,0.388531
Er-156,0.38737,gamma,19.5,m,Non-Medical,0.38737
Xe-133,0.383851,gamma,5.243,d,Medical - Imaging,0.383851
Ba-133,0.383848,gamma,10.52,y,Non-Medical,0.383848
U-240,0.38,b-spectra,14.1,h,Non-Medical,0.38
Ba-128,0.37499,gamma,2.43,d,Non-Medical,0.37499
Pu-246,0.371,b-spectra,10.84,d,Non-Medical,0.371
Dy-159,0.3635,gamma,144.4,d,Non-Medical,0.3635
Sn-121m,0.35915,b-spectra,43.9,y,Non-Medical,0.35915
Ta-182m,0.35647,gamma,15.84,m,Non-Medical,0.35647
Ce-134,0.35554,gamma,3.16,d,Non-Medical,0.35554
Ra-225,0.354,b-spectra,14.9,d,Non-Medical,0.354
Er-169,0.3509,b-spectra,9.4,d,Non-Medical,0.3509
W-188,0.349,b-spectra,69.78,d,Non-Medical,0.349
Zn-72,0.3388,b-spectra,46.5,h,Non-Medical,0.3388
Au-198m,0.33382,gamma,2.27,d,Non-Medical,0.33382
Cr-51,0.320082,gamma,27.7025,d,Non-Medical,0.320082
Cd-113,0.32001,b-spectra,7.70E+15,y,Non-Medical,0.32001
Ce-144,0.3187,b-spectra,284.91,d,Non-Medical,0.3187
Au-195m,0.3186,gamma,30.5,s,Non-Medical,0.3186
Au-196m,0.31619,gamma,9.6,h,Non-Medical,0.31619
Sn-117m,0.3143,gamma,13.76,d,Non-Medical,0.3143
Tc-99,0.2935,b-spectra,211100,y,Non-Medical,0.2935
Au-193m,0.2898,gamma,3.9,s,Non-Medical,0.2898
W-179m,0.2889,gamma,6.4,m,Non-Medical,0.2889
Rb-87,0.2833,b-spectra,49230000000,y,Non-Medical,0.2833
Sn-110,0.283,gamma,4.11,h,Non-Medical,0.283
Kr-81,0.27599,gamma,229000,y,Non-Medical,0.27599
Hf-182,0.270405,gamma,9000000,y,Non-Medical,0.270405
Pd-112,0.2695,b-spectra,21.03,h,Non-Medical,0.2695
Cs-135,0.2694,b-spectra,2300000,y,Non-Medical,0.2694
Hg-197,0.26871,gamma,64.94,h,Non-Medical,0.26871
Ba-135m,0.268218,gamma,28.7,h,Non-Medical,0.268218
Ca-45,0.2568,b-spectra,162.67,d,Non-Medical,0.2568
Eu-155,0.2522,b-spectra,4.7611,y,Non-Medical,0.2522
Ni-66,0.252,b-spectra,54.6,h,Non-Medical,0.252
Sn-126,0.2501,b-spectra,230000,y,Non-Medical,0.2501
P-33,0.2485,b-spectra,25.34,d,Non-Medical,0.2485
Te-123m,0.2474,gamma,119.25,d,Non-Medical,0.2474
Se-79m,0.24677,b-spectra,3.92,m,Non-Medical,0.24677
Cd-111m,0.245395,gamma,48.5,m,Non-Medical,0.245395
In-111,0.24535,gamma,2.8047,d,Medical - Imaging,0.24535
Te-132,0.24014,b-spectra,3.204,d,Non-Medical,0.24014
Pt-195m,0.2395,gamma,4.02,d,Non-Medical,0.2395
Xe-133m,0.233221,gamma,2.19,d,Non-Medical,0.233221
Pm-147,0.2246,b-spectra,2.6234,y,Non-Medical,0.2246
Si-32,0.2245,b-spectra,132,y,Non-Medical,0.2245
Au-195,0.21136,gamma,186.098,d,Non-Medical,0.21136
Er-167m,0.207801,gamma,2.269,s,Non-Medical,0.207801
Ir-190n,0.205206,gamma,3.087,h,Non-Medical,0.205206
Hf-172,0.1989,gamma,1.87,y,Non-Medical,0.1989
Xe-129m,0.19656,gamma,8.88,d,Non-Medical,0.19656
Th-234,0.19497,b-spectra,24.1,d,Non-Medical,0.19497
Kr-81m,0.19046,gamma,13.1,s,Medical - Imaging,0.19046
Pd-109m,0.1889,gamma,4.69,m,Non-Medical,0.1889
W-185m,0.18788,gamma,1.597,m,Non-Medical,0.18788
Fe-60,0.1774,b-spectra,1500000,y,Non-Medical,0.1774
Gd-153,0.172853,gamma,240.4,d,Non-Medical,0.172853
Xe-127m,0.1725,gamma,69.2,s,Non-Medical,0.1725
Re-188m,0.16954,gamma,18.59,m,Non-Medical,0.16954
Tl-201,0.16743,gamma,72.912,h,Medical - Imaging,0.16743
S-35,0.16714,b-spectra,87.51,d,Non-Medical,0.16714
Ce-139,0.165858,gamma,137.641,d,Non-Medical,0.165858
Xe-131m,0.16393,gamma,11.84,d,Non-Medical,0.16393
Se-77m,0.162,gamma,17.36,s,Non-Medical,0.162
Pd-100,0.15887,gamma,3.63,d,Non-Medical,0.15887
C-14,0.15648,b-spectra,5700,y,Non-Medical,0.15648
In-112m,0.1564,gamma,20.56,m,Non-Medical,0.1564
Ir-192n,0.15516,gamma,241,y,Non-Medical,0.15516
I-129,0.15442,b-spectra,15700000,y,Non-Medical,0.15442
W-181,0.15232,gamma,121.2,d,Non-Medical,0.15232
Se-79,0.151,b-spectra,295000,y,Non-Medical,0.151
Re-186m,0.146273,gamma,200000,y,Non-Medical,0.146273
Ti-44,0.14622,gamma,60,y,Non-Medical,0.14622
Te-125m,0.14478,gamma,57.4,d,Non-Medical,0.14478
Os-191,0.14242,b-spectra,15.4,d,Non-Medical,0.14242
Cs-134m,0.138733,gamma,2.903,h,Non-Medical,0.138733
Pt-193m,0.1355,gamma,4.33,d,Non-Medical,0.1355
W-179,0.1339,gamma,37.05,m,Non-Medical,0.1339
Ir-191m,0.129431,gamma,4.94,s,Non-Medical,0.129431
Fe-55,0.126,gamma,2.737,y,Non-Medical,0.126
Ba-131m,0.10845,gamma,14.6,m,Non-Medical,0.10845
Br-77m,0.10587,gamma,4.28,m,Non-Medical,0.10587
Eu-154m,0.10088,gamma,46,m,Non-Medical,0.10088
Os-194,0.0966,b-spectra,6,y,Non-Medical,0.0966
Tc-97m,0.0965,gamma,90.1,d,Non-Medical,0.0965
Tm-171,0.0964,b-spectra,1.92,y,Non-Medical,0.0964
Ho-164m,0.094,gamma,38,m,Non-Medical,0.094
Zr-93,0.0914,b-spectra,1530000,y,Non-Medical,0.0914
Eu-152n,0.089847,gamma,96,m,Non-Medical,0.089847
Tb-156n,0.0884,gamma,5.3,h,Non-Medical,0.0884
Ag-109m,0.0880336,gamma,39.6,s,Non-Medical,0.0880336
Cd-109,0.0880336,gamma,461.4,d,Non-Medical,0.0880336
Yb-166,0.08229,gamma,56.7,h,Non-Medical,0.08229
Ir-193m,0.08022,gamma,10.53,d,Non-Medical,0.08022
Sn-113m,0.077389,gamma,21.4,m,Non-Medical,0.077389
Sm-151,0.0767,b-spectra,90,y,Non-Medical,0.0767
Sb-122m,0.0760595,gamma,4.191,m,Non-Medical,0.0760595
Os-191m,0.07438,gamma,13.1,h,Non-Medical,0.07438
Lu-171m,0.0711,gamma,79,s,Non-Medical,0.0711
W-178,0.0675587,X,21.6,d,Non-Medical,0.0675587
Ni-63,0.06695,b-spectra,100.1,y,Non-Medical,0.06695
Sn-119m,0.06566,gamma,293.1,d,Non-Medical,0.06566
Ta-179,0.0654766,X,1.82,y,Non-Medical,0.0654766
Ho-168m,0.059,gamma,132,s,Non-Medical,0.059
Er-165,0.0556705,X,10.36,h,Non-Medical,0.0556705
Tb-157,0.0545,gamma,71,y,Non-Medical,0.0545
As-73,0.053437,gamma,80.3,d,Non-Medical,0.053437
Tb-156m,0.04963,gamma,24.4,h,Non-Medical,0.04963
Br-80m,0.04885,gamma,4.4205,h,Non-Medical,0.04885
Se-72,0.046,gamma,8.4,d,Non-Medical,0.046
Nd-140,0.0419856,X,3.37,d,Non-Medical,0.0419856
Lu-172m,0.04186,gamma,3.7,m,Non-Medical,0.04186
Rh-103m,0.039755,gamma,56.114,m,Non-Medical,0.039755
Ra-228,0.03962,b-spectra,5.75,y,Non-Medical,0.03962
Ru-106,0.0394,b-spectra,373.59,d,Non-Medical,0.0394
La-137,0.037427,X,60000,y,Non-Medical,0.037427
I-125,0.0354922,gamma,59.4,d,Non-Medical,0.0354922
Cs-131,0.034545,X,9.689,d,Non-Medical,0.034545
Pd-107,0.0341,b-spectra,6500000,y,Non-Medical,0.0341
Kr-83m,0.0321498,gamma,1.83,h,Non-Medical,0.0321498
Os-189m,0.03081,gamma,5.8,h,Non-Medical,0.03081
Nb-93m,0.03077,gamma,16.13,y,Non-Medical,0.03077
Te-118,0.030472,X,6,d,Non-Medical,0.030472
Te-123,0.030472,X,6.00E+14,y,Non-Medical,0.030472
Sb-119,0.0291782,X,38.19,h,Non-Medical,0.0291782
Lu-169m,0.029,gamma,160,s,Non-Medical,0.029
Ir-190m,0.0263,gamma,1.12,h,Non-Medical,0.0263
Sb-124n,0.02598,gamma,20.2,m,Non-Medical,0.02598
Co-58m,0.024889,gamma,9.04,h,Non-Medical,0.024889
Tc-97,0.0199582,X,2600000,y,Non-Medical,0.0199582
Mo-93,0.0189422,X,4000,y,Non-Medical,0.0189422
H-3,0.01859,b-spectra,12.32,y,Non-Medical,0.01859
Pb-205,0.0153257,X,15300000,y,Non-Medical,0.0153257
Sr-82,0.0151392,X,25.36,d,Non-Medical,0.0151392
Hg-194,0.0143255,X,440,y,Non-Medical,0.0143255
Pt-193,0.0133892,X,50,y,Non-Medical,0.0133892
Ge-68,0.0103261,X,270.95,d,Non-Medical,0.0103261
Ge-71,0.0103261,X,11.43,d,Non-Medical,0.0103261
Mn-53,0.00595124,X,3700000,y,Non-Medical,0.00595124
V-49,0.00493226,X,330,d,Non-Medical,0.00493226
Pr-142m,0.003683,gamma,14.6,m,Non-Medical,0.003683
Ca-41,0.00355983,X,102000,y,Non-Medical,0.00355983
Ar-37,0.00279262,X,35.04,d,Non-Medical,0.00279262
Re-187,0.00247,b-spectra,41200000000,y,Non-Medical,0.00247
Ho-163,0.00153871,auger,4570,y,Non-Medical,0.00153871
U-235m,7.65E-05,gamma,26,m,Non-Medical,7.65E-05
